title,company,location,link
2020년 한화솔루션 큐셀부문 보건관리자(간호사) 모집,한화그룹,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=871672f394d55663
부산응급의료지원센터 사무행정직(행정) 및 보건의료직(간호사 또는 응급구조사 1급) 채용...,국립중앙의료원,서울 을지로동,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=a66444c06e857aec
계약직 간호사/임상병리사-휴직대체(호흡기내과) 직원 채용 공고,국립중앙의료원,서울 을지로동,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=cf67b7f26621077a
[연봉3400~3600]경희의료원 신입직원[산부인과 전담간호사]공고,경희의료원,서울 동대문구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=5a10fc9f98829a5a
무기계약직 직원 (의사 외),한국원자력의학원,서울 노원구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=5212e2ab51e635f0
심사팀 경력직 간호사 채용,현대병원,남양주 진접읍,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=38771bd70fe5c0dc
감염관리실 경력직 간호사 채용,현대병원,남양주 진접읍,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=3d889abc3655a4a0
"인천지역 장애인 보건의료센터 직원 (간호사,의료사회복지사,행정직원,물리치료사/작업치료사)",인하대학교외과대학부속병원,인천 중구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=3ae4591909e91167
[의정부시지역정착형 청년지원사업]간호사/간호조무사,의정부 서울척병원,경기도 의정부,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=5cec010f0415dc12
간호직(외상센터 간호사)채용 공고,국립중앙의료원,서울 을지로동,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=a6d03fdacb1d9d14
"서울 서초_염창환병원 외래 주사실, 병동 간호사",염창환병원,서울 서초구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=faaa0439e81adb65
"올바로병원 [수술실, 병동간호사] 정규직(경력무관)",올바로병원,서울 서초구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=975e5e0710dfe00a
2020년 11월-1 국내 전문직/채용직 공개채용,대우건설,서울특별시,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=47741b790eba18af
[제2020-3호] 직원,한국국제보건의료재단,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=ea84621396252f88
"순천시청년정신건강조기중재센터 (간호사, 사회복지사, 임상심리사) 신입/경력 정규직",순천시청년정신건강조기중재센터,전라남도 순천,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=8e317d5b550c9d10
"양평요양병원 병동 간호사, 간호조무사",양평요양병원,경기도 양평,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=1b3a823ee8903232
로하스요양원 (시설) 간호사,로하스요양원,경기도 남양주,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=f4a3ae5eaaa9b56b
후곡마 6단지 입주 요양보호사,큰맘방문요양센터,고양 일산서구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=6d443c7aea0a0c49
[혜민한방병원]한방병원 병동 간호사 선생님,시흥요양병원,경기도 시흥,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=357700cbe659c1dd
보건교사지원업무,서울한신초등학교,서울 도봉구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=c97ad7c331a8dfd3
책임감강하고 멋진 간호사 선생님,하이탑요양원,고양 일산동구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=f88fe86c4146d8d8
간호사(간호조무사) 선생님 .,서울삼성정형외과,경기도 고양,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=4f69ca501491ea6c
[연봉2200~2400]요양병원 간호조무사님,신안요양병원,경기도 양주,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=f8a29146b61699d5
새로 개원한 한의원 데스크/간호조무사 분 (주4일 야간포함),경희스마일한의원,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=edfa21f9c4dad82c
부산 수영구 한의원 제반업무,한빛한의원,부산 수영구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=622c81c01df6b953
간호사 수시,청주성모병원,청주 청원구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=9a689a13bb164e37
이화요양원 간호사,이화요양원,고양 덕양구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=14411dd05d7882a1
보건 의료기사 정보(간호사),창조메디칼,전주 완산구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=5beeb3a00591952c
내시경실 아르바이트 구인,의료법인 나래의료재단,안양 동안구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=25981e908d075fcf
간호조무사 (육아휴직 대체) 공고,수락데이케어센터,서울 노원구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=96fe7c51def75ec1
임상연구윤리센터(IRB) 계약직 QA간호사(행정간호사),인제대학교 백병원,대한민국,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=8fb6d628bd132148
"간호직 채용공고(외상센터, 간호부 경력간호사)",국립중앙의료원,서울 을지로동,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=053b241f97d13550
"동물병원 간호사 구인[주5일,토요일포함]",밀리언 동물병원,서울 양천구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=cf913af204af03d8
