title,company,location,link
ZARA 명동 눈스퀘어 주 20시간 파트타이머 채용공고,ZARA,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=9c364ca630225677
[한국수자원공사] 낙동강유역본부 실무직(청원경찰)(영주 외),한국수자원공사,경상북도,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=81e972ad4f7cc2e3
눈맞은 짝대 앤 노가리에서 성실한 주말 알바 구해요,눈맞은 짝태 앤 노가리,경기도 남양주,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=856060c89f116afa
눈비시 압도적할증1000원 추가지급 건별3500원이상/월400만원이상,올인 배달대행,서울 금천구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=e62fa5173c510447
"[카눈] 장기렌트, 리스 업무지원 / 사무보조",에이아이오토,서울 강서구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=35be2ebbd50bd62b
(강남역) (주5일) 일본담당 마케터 성형외과 상담 통역 담당자,스노우의원,서울 강남구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=d0a3ef452714fbd0
일30만a/눈누난나 분위기최고아로마테라피 관리사 (대구마사지),오벨(OBEL),대구 남구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=7f05c8eedbc348f5
제품 생산/관리 매니저(Operation Manger),슬라운드,서울 강남구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=2658c20936cff600
2020~2021년 한국도로공사 수도권본부 기계화팀 기간제근로자(제설) 운전원,한국도로공사경기지역본부,용인 기흥구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=dc9e0ba8d186aebe
동성로 삼덕동 눈꽃곱창 알바,눈꽃곱창,대구 중구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=16f2822f29f46071
(주)눈꽃찜닭 홀서빙 정직원 동성로 로데오,눈꽃찜닭,대구 중구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=175e2c288a80023c
ZARA 명동 눈스퀘어 정직원 채용공고,ZARA,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=fe5f000dd716b046
동종업계최고대우(눈테라피)올리뉴얼/오픈멤버/아로마테라피 관리사,눈테라피,대구 수성구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=153c4bc8e8daed90
